ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,30,30,7,8,10,8,9,0,40,9,18,10,18,24,15,9,8,9,8,27,14,0,211.0,9.591,160.0,7.273,44,8.43
30,30,27,27,5,9,10,10,10,0,40,10,27,10,21,24,21,9,9,9,9,27,18,0,208.0,9.455,184.0,8.364,44,8.91
30,30,30,30,8,9,10,8,9,0,40,10,27,9,18,21,27,9,9,9,9,24,16,0,214.0,9.727,178.0,8.091,44,8.91
24,30,30,27,6,9,10,9,9,0,40,10,24,9,12,18,12,8,9,9,9,21,14,0,204.0,9.273,145.0,6.591,44,7.93
24,30,30,27,8,8,9,8,10,0,36,8,0,9,0,0,0,8,9,8,9,24,14,0,198.0,9.0,81.0,3.682,32,0
27,30,30,30,9,8,10,7,9,0,36,9,21,9,18,21,12,8,10,8,8,24,16,0,205.0,9.318,155.0,7.045,44,8.18
27,30,30,27,4,9,10,6,9,0,40,9,24,9,24,24,18,8,8,7,9,18,14,0,201.0,9.136,163.0,7.409,44,8.27
21,30,30,30,8,9,9,8,6,0,36,4,12,8,0,0,21,6,8,8,7,12,14,0,191.0,8.682,96.0,4.364,38,0
27,30,30,30,7,9,10,8,9,0,40,10,12,9,0,12,0,7,9,6,7,18,14,0,210.0,9.545,94.0,4.273,38,0
21,27,30,24,7,8,8,8,8,0,36,5,21,9,18,18,18,7,8,8,8,12,18,0,182.0,8.273,145.0,6.591,44,7.43
27,30,30,30,10,9,9,4,10,0,40,8,18,8,15,15,18,7,8,8,7,21,14,0,207.0,9.409,139.0,6.318,44,7.86
27,30,30,30,8,10,10,9,9,0,40,8,27,9,27,21,18,8,8,8,8,27,18,0,211.0,9.591,179.0,8.136,44,8.86
30,30,30,30,8,9,10,7,9,0,40,9,24,10,24,21,24,9,9,9,9,27,18,0,212.0,9.636,184.0,8.364,44,9.00
30,30,30,30,8,8,9,10,9,0,36,8,24,9,21,27,21,8,9,9,10,27,18,0,208.0,9.455,183.0,8.318,44,8.89
27,30,30,30,4,8,8,6,9,0,40,9,18,9,18,18,12,8,8,6,8,24,16,0,201.0,9.136,145.0,6.591,44,7.86
30,30,30,30,5,9,10,10,9,0,40,10,24,9,21,27,21,7,9,8,9,27,16,0,213.0,9.682,178.0,8.091,44,8.89
24,30,27,24,7,9,9,5,9,0,16,9,0,8,0,0,0,7,8,7,7,15,14,0,169.0,7.682,66.0,3.0,32,0
24,30,30,27,7,9,10,9,9,0,40,9,21,9,18,21,18,8,6,9,7,18,14,0,204.0,9.273,149.0,6.773,44,8.02
24,30,30,30,6,8,10,4,9,0,36,9,0,9,12,0,0,7,8,4,4,12,14,0,196.0,8.909,70.0,3.182,35,0
30,30,30,27,4,9,9,8,10,0,40,10,27,10,24,24,21,9,9,8,10,27,18,0,207.0,9.409,187.0,8.5,44,8.95
27,30,30,30,8,8,10,9,9,0,40,9,27,10,21,21,18,8,9,7,8,21,14,0,210.0,9.545,164.0,7.455,44,8.50
27,30,30,30,4,8,10,9,9,0,40,10,24,10,21,24,15,8,7,9,9,24,16,0,207.0,9.409,167.0,7.591,44,8.50
30,30,30,30,9,9,10,10,10,0,40,10,24,9,24,24,15,9,9,9,10,24,18,0,218.0,9.909,175.0,7.955,44,8.93
24,30,30,30,4,7,10,5,9,0,40,9,18,9,12,15,0,7,7,6,6,18,14,0,198.0,9.0,112.0,5.091,41,0
27,30,30,30,6,10,9,8,9,0,40,9,18,9,12,18,15,8,6,9,8,24,16,0,208.0,9.455,143.0,6.5,44,7.98
30,30,30,30,9,9,9,9,9,0,40,10,30,10,21,21,18,9,9,8,8,27,16,0,215.0,9.773,177.0,8.045,44,8.91
30,30,30,30,9,10,10,10,10,0,40,10,27,10,18,27,18,9,10,9,10,27,18,0,219.0,9.955,183.0,8.318,44,9.14
30,30,30,27,8,9,10,5,9,0,40,8,27,9,12,12,12,8,6,7,8,24,16,0,206.0,9.364,141.0,6.409,44,7.89
27,30,30,27,4,9,10,10,8,0,40,7,24,8,18,21,18,7,8,7,9,21,18,0,202.0,9.182,159.0,7.227,44,8.20
27,30,30,27,7,7,9,9,9,0,36,9,18,9,0,18,0,7,6,8,8,24,16,0,200.0,9.091,114.0,5.182,38,0
27,27,30,30,5,8,9,8,9,0,40,9,12,9,18,21,12,8,8,6,8,24,16,0,202.0,9.182,142.0,6.455,44,7.82
30,30,30,30,6,9,9,10,9,0,40,10,27,10,24,24,27,9,10,9,9,30,18,0,213.0,9.682,197.0,8.955,44,9.32
30,30,30,27,8,9,9,10,9,0,40,9,27,10,24,27,24,9,10,9,8,21,18,0,211.0,9.591,187.0,8.5,44,9.05
24,30,30,24,6,8,10,8,9,0,40,9,21,9,24,24,18,8,9,9,9,21,16,0,198.0,9.0,168.0,7.636,44,8.32
24,30,27,30,10,9,10,10,10,0,40,10,27,10,27,30,21,10,8,9,10,30,18,0,210.0,9.545,200.0,9.091,44,9.32
27,30,24,30,7,8,10,6,10,0,40,10,21,10,21,24,18,9,9,7,8,18,16,0,202.0,9.182,161.0,7.318,44,8.25
30,30,30,30,8,9,10,9,9,0,40,10,30,10,24,24,21,10,9,9,9,21,18,0,215.0,9.773,185.0,8.409,44,9.09
30,30,30,30,7,9,10,8,9,0,40,9,21,8,18,21,18,7,8,8,8,21,16,0,212.0,9.636,154.0,7.0,44,8.32
27,30,30,27,6,7,9,8,9,0,36,8,0,9,0,0,0,7,9,6,7,21,14,0,197.0,8.955,73.0,3.318,32,0
27,30,30,30,9,9,10,7,10,0,40,9,24,10,24,18,0,9,8,7,7,24,18,0,211.0,9.591,149.0,6.773,41,0
27,30,27,27,10,9,10,7,9,0,40,10,24,9,18,21,15,8,9,9,8,27,18,0,206.0,9.364,166.0,7.545,44,8.45
24,30,27,27,8,9,10,8,9,0,40,9,21,9,15,18,18,8,7,5,9,27,18,0,201.0,9.136,155.0,7.045,44,8.09
27,30,30,27,8,9,9,10,9,0,36,10,21,9,18,24,15,8,8,8,9,21,18,0,205.0,9.318,159.0,7.227,44,8.27
30,30,30,27,7,9,9,10,9,0,36,10,18,9,27,27,27,8,10,9,9,27,16,0,207.0,9.409,187.0,8.5,44,8.95
27,30,30,30,7,8,10,7,10,0,40,9,21,9,21,24,15,8,8,9,8,21,16,0,208.0,9.455,160.0,7.273,44,8.36
24,30,30,30,8,8,9,5,9,0,40,9,15,9,12,12,12,8,9,7,7,21,14,0,202.0,9.182,126.0,5.727,44,7.45
27,30,30,30,7,9,9,8,8,0,40,8,21,9,18,12,18,8,9,7,8,18,16,0,206.0,9.364,144.0,6.545,44,7.95
