ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
24,30,30,30,5,9,10,9,9,0,40,10,18,9,12,21,15,8,7,8,8,24,14,0,206.0,9.364,144.0,6.545,44,7.95
27,30,30,30,9,8,9,7,9,0,40,9,18,9,18,21,12,8,8,8,7,15,14,0,208.0,9.455,138.0,6.273,44,7.86
27,30,30,30,7,9,9,8,9,0,40,9,21,9,24,21,18,9,8,8,7,27,18,0,208.0,9.455,170.0,7.727,44,8.59
30,30,30,30,8,9,10,8,9,0,40,7,24,10,18,24,15,9,8,8,8,21,18,0,211.0,9.591,163.0,7.409,44,8.50
27,30,30,27,4,7,8,7,8,0,40,4,21,9,18,18,12,8,7,7,9,21,14,0,192.0,8.727,144.0,6.545,44,7.64
27,30,30,30,9,9,9,9,9,0,40,10,15,9,12,12,15,8,8,6,7,24,14,0,212.0,9.636,130.0,5.909,44,7.77
27,30,30,30,8,8,10,10,9,0,40,9,27,9,18,21,15,9,8,9,9,27,16,0,211.0,9.591,168.0,7.636,44,8.61
27,30,30,30,7,9,10,10,9,0,40,10,21,9,12,24,18,8,9,9,8,27,16,0,212.0,9.636,161.0,7.318,44,8.48
24,30,30,30,7,8,9,4,8,0,40,9,15,8,18,21,18,7,9,8,8,18,14,0,199.0,9.045,144.0,6.545,44,7.80
30,30,30,30,8,9,10,10,10,0,40,10,27,9,18,24,18,8,9,7,9,24,18,0,217.0,9.864,171.0,7.773,44,8.82
27,30,30,30,4,8,10,6,10,0,40,10,24,10,21,18,15,9,8,6,7,21,16,0,205.0,9.318,155.0,7.045,44,8.18
27,30,30,30,9,9,9,8,9,0,40,10,21,10,21,21,18,9,9,9,9,24,18,0,211.0,9.591,169.0,7.682,44,8.64
27,30,30,30,9,9,10,10,9,0,40,10,27,9,21,18,24,9,9,7,7,24,18,0,214.0,9.727,173.0,7.864,44,8.80
21,27,24,21,7,9,9,7,9,0,24,9,0,9,0,0,0,7,7,7,7,21,14,0,167.0,7.591,72.0,3.273,32,0
30,30,30,27,6,8,9,9,8,0,36,8,24,10,21,21,18,9,9,8,9,24,18,0,201.0,9.136,171.0,7.773,44,8.45
27,30,30,30,8,8,9,10,9,0,36,9,21,10,18,21,21,9,8,7,8,24,18,0,206.0,9.364,165.0,7.5,44,8.43
27,30,30,30,4,8,9,10,9,0,40,9,24,9,24,27,18,8,9,8,9,18,14,0,206.0,9.364,168.0,7.636,44,8.50
24,30,30,30,9,8,9,7,9,0,40,8,24,10,18,27,18,8,9,9,9,21,16,0,204.0,9.273,169.0,7.682,44,8.48
27,30,30,27,8,8,9,9,9,0,40,8,12,9,12,18,12,8,8,5,9,21,16,0,205.0,9.318,130.0,5.909,44,7.61
30,30,30,30,7,7,10,7,9,0,40,6,18,8,18,21,15,7,8,6,8,21,14,0,206.0,9.364,144.0,6.545,44,7.95
30,30,27,24,7,8,10,9,9,0,40,9,27,10,24,24,27,10,9,9,9,24,18,0,203.0,9.227,191.0,8.682,44,8.95
30,30,30,30,7,8,7,7,7,0,40,6,0,7,12,24,0,6,8,5,8,12,14,0,202.0,9.182,96.0,4.364,38,0
30,30,30,30,6,9,8,8,9,0,40,10,18,10,15,21,18,8,9,9,9,24,18,0,210.0,9.545,159.0,7.227,44,8.39
27,30,30,27,8,7,9,9,9,0,32,10,18,9,18,21,18,8,8,7,7,27,18,0,198.0,9.0,159.0,7.227,44,8.11
27,30,30,30,7,8,10,6,9,0,40,10,21,9,12,24,21,8,7,7,8,15,16,0,207.0,9.409,148.0,6.727,44,8.07
27,30,30,30,6,10,10,10,10,0,40,10,24,9,21,27,18,9,9,10,9,24,16,0,213.0,9.682,176.0,8.0,44,8.84
27,30,30,27,8,9,10,7,9,0,40,10,24,10,24,24,18,9,9,7,7,21,14,0,207.0,9.409,167.0,7.591,44,8.50
27,30,30,30,8,9,10,9,9,0,40,10,24,10,21,24,21,9,9,9,9,27,16,0,212.0,9.636,179.0,8.136,44,8.89
30,30,30,30,7,9,9,9,7,0,40,8,24,9,21,21,15,8,9,7,9,18,16,0,209.0,9.5,157.0,7.136,44,8.32
30,30,30,30,9,9,9,7,7,0,40,6,24,8,15,18,12,7,8,7,9,21,16,0,207.0,9.409,145.0,6.591,44,8.00
24,30,30,30,7,9,10,9,9,0,40,9,24,10,18,21,12,9,9,9,8,21,16,0,207.0,9.409,157.0,7.136,44,8.27
30,30,30,30,7,9,10,10,9,0,40,9,27,9,21,27,18,8,8,9,9,24,16,0,214.0,9.727,176.0,8.0,44,8.86
27,27,30,30,7,9,10,5,10,0,40,10,12,9,0,12,0,8,8,7,9,18,14,0,205.0,9.318,97.0,4.409,38,0
30,30,30,30,9,9,9,9,9,0,40,10,24,10,24,27,18,8,8,9,9,24,16,0,215.0,9.773,177.0,8.045,44,8.91
30,30,30,30,6,9,10,7,9,0,36,10,15,9,12,12,12,8,8,7,6,24,14,0,207.0,9.409,127.0,5.773,44,7.59
27,27,24,21,9,9,9,8,9,0,40,9,21,9,21,18,12,9,9,8,9,27,14,0,192.0,8.727,157.0,7.136,44,7.93
30,30,30,27,10,9,9,8,9,0,40,9,24,10,21,24,15,9,9,10,9,24,16,0,211.0,9.591,171.0,7.773,44,8.68
27,30,30,30,9,9,9,9,9,0,36,9,21,9,21,21,15,8,9,8,9,27,16,0,207.0,9.409,164.0,7.455,44,8.43
30,30,30,30,8,9,10,10,9,0,40,9,21,9,21,27,30,8,8,9,10,24,14,0,215.0,9.773,181.0,8.227,44,9.00
30,30,30,30,8,8,9,7,8,0,40,8,27,9,18,21,18,8,9,8,9,18,14,0,208.0,9.455,159.0,7.227,44,8.34
27,30,30,30,9,9,9,9,9,0,40,9,24,10,21,21,27,9,8,9,8,27,16,0,211.0,9.591,180.0,8.182,44,8.89
30,30,30,30,5,9,10,8,10,0,40,10,21,10,21,24,18,10,9,9,7,27,16,0,212.0,9.636,172.0,7.818,44,8.73
27,30,30,27,8,7,10,5,9,0,40,10,24,10,21,24,12,9,9,9,8,21,18,0,203.0,9.227,165.0,7.5,44,8.36
30,30,30,30,4,9,9,9,9,0,40,10,21,9,21,18,18,9,8,7,9,27,18,0,210.0,9.545,165.0,7.5,44,8.52
27,30,30,30,8,9,10,8,9,0,40,10,18,8,0,15,12,7,8,7,7,21,16,0,211.0,9.591,119.0,5.409,41,0
30,30,30,30,4,8,10,8,10,0,40,10,21,9,21,21,12,8,7,8,7,21,16,0,210.0,9.545,151.0,6.864,44,8.20
24,30,30,27,5,8,7,9,9,0,40,10,21,9,18,12,12,8,9,9,8,24,16,0,199.0,9.045,146.0,6.636,44,7.84
27,30,27,30,7,8,10,8,7,0,36,8,18,9,12,15,12,8,8,7,7,12,16,0,198.0,9.0,124.0,5.636,44,7.32
27,30,30,30,6,8,10,7,9,0,40,8,21,9,18,18,15,8,7,8,8,21,16,0,205.0,9.318,149.0,6.773,44,8.05
27,30,30,30,9,9,9,7,8,0,40,9,30,9,24,27,15,8,9,9,9,24,14,0,208.0,9.455,178.0,8.091,44,8.77
24,27,27,30,6,9,7,7,7,0,40,7,24,9,12,18,18,8,9,9,8,21,14,0,191.0,8.682,150.0,6.818,44,7.75
30,30,30,30,6,9,10,10,9,0,40,9,18,9,12,18,21,8,9,9,9,27,18,0,213.0,9.682,158.0,7.182,44,8.43
27,30,30,30,6,9,10,9,9,0,40,10,27,9,21,24,12,8,8,7,9,27,16,0,210.0,9.545,168.0,7.636,44,8.59
24,30,30,27,5,8,10,6,9,0,40,8,18,9,12,12,18,8,9,8,7,18,16,0,197.0,8.955,135.0,6.136,44,7.55
24,30,30,30,9,9,10,7,9,0,40,10,18,9,12,21,18,8,8,8,8,24,14,0,208.0,9.455,148.0,6.727,44,8.09
30,30,30,30,9,9,10,7,9,0,40,9,27,9,21,24,27,8,8,6,8,24,16,0,213.0,9.682,178.0,8.091,44,8.89
30,30,30,30,6,9,10,7,9,0,40,10,27,10,27,27,18,9,9,9,8,27,18,0,211.0,9.591,189.0,8.591,44,9.09
21,30,30,27,6,7,9,9,9,0,36,9,0,9,0,0,21,8,7,7,7,24,14,0,193.0,8.773,97.0,4.409,35,0
30,30,30,30,9,8,10,9,9,0,40,10,24,9,21,30,24,7,9,8,10,24,18,0,215.0,9.773,184.0,8.364,44,9.07
21,30,27,21,7,8,9,10,9,0,36,9,18,9,21,21,12,8,9,7,9,24,16,0,187.0,8.5,154.0,7.0,44,7.75
27,30,30,27,9,8,10,7,9,0,40,10,21,9,24,15,21,9,10,8,7,30,16,0,207.0,9.409,170.0,7.727,44,8.57
30,30,30,30,9,9,10,9,10,0,40,10,18,9,18,18,15,9,9,7,9,21,18,0,217.0,9.864,151.0,6.864,44,8.36
30,30,30,30,7,8,10,9,9,0,40,9,21,10,24,27,24,9,10,10,9,18,18,0,212.0,9.636,180.0,8.182,44,8.91
27,30,30,27,6,9,7,7,9,0,40,6,0,9,0,15,12,7,8,8,9,18,14,0,198.0,9.0,100.0,4.545,38,0
27,30,30,30,7,9,9,8,9,0,40,9,30,10,27,30,21,8,8,9,8,24,18,0,208.0,9.455,193.0,8.773,44,9.11
30,30,30,30,7,8,10,10,9,0,40,10,30,10,24,21,18,9,9,9,9,27,14,0,214.0,9.727,180.0,8.182,44,8.95
27,30,30,30,8,8,9,7,9,0,40,7,24,10,24,24,15,8,7,6,9,21,14,0,205.0,9.318,162.0,7.364,44,8.34
30,30,30,30,6,8,10,10,10,0,40,10,24,9,18,18,12,8,8,8,7,18,16,0,214.0,9.727,146.0,6.636,44,8.18
24,30,30,30,7,7,7,6,9,0,36,10,12,8,0,0,0,7,7,7,7,21,14,0,196.0,8.909,83.0,3.773,35,0
30,30,30,30,8,9,10,9,10,0,40,10,21,10,21,24,21,9,8,9,9,24,18,0,216.0,9.818,174.0,7.909,44,8.86
30,30,30,30,6,9,10,6,8,0,40,9,24,9,21,24,12,8,9,9,7,27,14,0,208.0,9.455,164.0,7.455,44,8.45
21,30,30,30,9,7,10,9,9,0,40,9,12,9,12,0,0,7,6,6,8,21,14,0,204.0,9.273,95.0,4.318,38,0
30,30,30,27,9,9,9,10,9,0,36,10,27,10,21,27,15,9,10,8,9,24,16,0,209.0,9.5,176.0,8.0,44,8.75
27,30,30,27,8,8,10,10,10,0,40,10,27,10,24,27,24,10,9,9,9,24,18,0,210.0,9.545,191.0,8.682,44,9.11
24,30,30,27,8,7,10,7,9,0,36,9,18,9,0,12,21,8,7,7,8,21,14,0,197.0,8.955,125.0,5.682,41,0
24,30,30,30,9,9,7,7,9,0,40,9,21,10,24,24,21,9,9,9,9,24,18,0,204.0,9.273,178.0,8.091,44,8.68
30,30,30,30,8,8,9,6,9,0,36,9,21,9,15,18,18,7,8,7,7,24,16,0,205.0,9.318,150.0,6.818,44,8.07
18,27,24,27,7,9,9,9,9,0,36,10,21,10,24,21,24,9,9,9,9,27,16,0,185.0,8.409,179.0,8.136,44,8.27
27,30,30,30,5,8,10,8,9,0,40,10,24,9,18,21,18,8,8,9,7,21,16,0,207.0,9.409,159.0,7.227,44,8.32
24,30,27,27,6,9,8,10,9,0,40,8,21,10,21,21,21,9,9,9,9,24,18,0,198.0,9.0,172.0,7.818,44,8.41
24,30,30,27,8,8,9,9,9,0,32,9,12,9,12,12,15,8,7,6,8,27,14,0,195.0,8.864,130.0,5.909,44,7.39
30,30,30,30,6,8,10,9,9,0,40,9,27,9,24,24,18,8,8,9,9,18,14,0,211.0,9.591,168.0,7.636,44,8.61
27,30,30,27,8,9,9,10,9,0,36,10,24,10,24,27,15,9,10,8,9,18,16,0,205.0,9.318,170.0,7.727,44,8.52
27,30,30,30,7,8,9,8,9,0,40,10,24,10,15,18,21,8,8,7,9,27,18,0,208.0,9.455,165.0,7.5,44,8.48
24,30,30,27,8,8,8,7,6,0,40,7,18,9,15,24,15,7,9,8,8,12,16,0,195.0,8.864,141.0,6.409,44,7.64
24,30,30,30,6,9,10,8,10,0,40,9,21,9,15,18,12,8,8,7,7,18,16,0,206.0,9.364,139.0,6.318,44,7.84
30,30,30,30,8,9,10,10,9,0,40,10,27,10,27,30,18,8,9,9,9,24,16,0,216.0,9.818,187.0,8.5,44,9.16
30,30,27,30,6,9,10,9,10,0,40,10,24,10,21,21,18,9,9,10,10,27,18,0,211.0,9.591,177.0,8.045,44,8.82
27,30,30,30,9,9,10,9,9,0,40,9,0,7,0,0,0,6,5,7,8,21,14,0,212.0,9.636,68.0,3.091,32,0
30,30,30,27,4,9,10,9,9,0,40,10,27,10,27,18,15,9,8,8,10,27,16,0,208.0,9.455,175.0,7.955,44,8.70
30,30,30,30,4,9,10,9,9,0,40,10,24,10,21,18,24,9,8,9,9,27,18,0,211.0,9.591,177.0,8.045,44,8.82
27,30,30,27,8,8,10,8,10,0,40,10,24,9,18,12,21,8,9,7,9,24,18,0,208.0,9.455,159.0,7.227,44,8.34
30,30,30,27,9,9,10,9,9,0,40,10,24,9,12,24,15,8,9,8,9,27,16,0,213.0,9.682,161.0,7.318,44,8.50
27,30,30,27,8,9,9,9,8,0,40,9,21,10,18,21,12,9,10,7,9,30,16,0,206.0,9.364,163.0,7.409,44,8.39
27,30,30,27,6,8,7,6,9,0,32,7,24,9,18,18,15,7,8,9,7,24,14,0,189.0,8.591,153.0,6.955,44,7.77
24,30,30,30,8,8,10,9,8,0,36,7,27,9,21,21,12,8,7,9,7,21,18,0,200.0,9.091,160.0,7.273,44,8.18
30,30,30,30,7,8,10,9,8,0,40,9,21,10,21,24,18,9,9,8,9,27,16,0,211.0,9.591,172.0,7.818,44,8.70
30,30,30,30,6,9,10,7,9,0,40,9,12,9,12,21,15,8,9,7,7,24,16,0,210.0,9.545,140.0,6.364,44,7.95
21,30,30,30,7,8,10,8,8,0,40,8,18,9,21,18,18,8,8,8,6,18,18,0,200.0,9.091,150.0,6.818,44,7.95
27,30,30,27,7,8,9,8,9,0,36,10,12,9,0,12,12,8,9,8,8,24,16,0,201.0,9.136,118.0,5.364,41,0
27,30,30,27,9,9,9,9,9,0,28,9,0,9,0,0,12,8,9,8,8,24,16,0,196.0,8.909,94.0,4.273,35,0
27,30,30,30,6,8,10,10,9,0,40,10,21,9,15,27,24,8,8,9,9,24,14,0,210.0,9.545,168.0,7.636,44,8.59
27,30,30,30,10,8,10,10,10,0,40,10,27,10,21,24,24,9,9,9,9,30,18,0,215.0,9.773,190.0,8.636,44,9.20
27,30,30,30,4,9,10,7,10,0,40,9,24,7,12,21,15,6,9,9,9,18,14,0,206.0,9.364,144.0,6.545,44,7.95
27,30,30,27,4,8,10,8,8,0,40,5,24,9,18,21,12,7,9,9,10,24,16,0,197.0,8.955,159.0,7.227,44,8.09
27,30,30,30,8,8,10,10,10,0,40,9,27,10,21,24,18,9,9,9,10,27,18,0,212.0,9.636,182.0,8.273,44,8.95
21,30,30,30,9,10,10,9,10,0,40,10,24,9,21,18,18,8,9,9,8,24,18,0,209.0,9.5,166.0,7.545,44,8.52
30,30,30,30,9,8,9,9,9,0,40,10,27,10,24,27,18,9,9,10,10,27,14,0,214.0,9.727,185.0,8.409,44,9.07
30,30,30,30,8,9,10,9,9,0,40,10,27,10,24,27,24,9,8,8,8,27,16,0,215.0,9.773,188.0,8.545,44,9.16
21,30,30,27,9,9,9,6,9,0,32,10,15,9,18,18,12,7,7,7,8,27,14,0,192.0,8.727,142.0,6.455,44,7.59
30,30,27,27,9,10,10,10,9,0,40,10,24,9,18,18,15,8,9,7,7,27,18,0,212.0,9.636,160.0,7.273,44,8.45
21,27,24,21,4,7,9,5,7,0,24,7,0,8,0,0,0,5,5,5,4,12,14,0,156.0,7.091,53.0,2.409,32,0
27,30,30,30,9,8,10,4,9,0,32,10,12,7,12,15,18,6,8,7,7,18,14,0,199.0,9.045,124.0,5.636,44,7.34
24,30,30,27,6,9,9,8,9,0,40,9,18,8,18,18,0,7,8,7,6,18,14,0,201.0,9.136,122.0,5.545,41,0
21,27,24,21,7,8,6,7,5,0,28,4,12,7,0,18,0,6,8,7,8,12,14,0,158.0,7.182,92.0,4.182,38,0
24,30,30,30,8,9,10,7,9,0,40,10,21,9,21,0,24,8,8,9,7,21,14,0,207.0,9.409,142.0,6.455,41,0
27,30,30,30,8,9,10,7,9,0,40,10,24,9,21,21,21,9,9,9,10,27,18,0,210.0,9.545,178.0,8.091,44,8.82
27,30,27,24,9,9,9,9,9,0,28,9,21,9,0,18,0,8,8,8,7,18,16,0,190.0,8.636,113.0,5.136,38,0
24,30,30,30,8,9,9,9,9,0,40,9,27,9,21,24,18,9,9,8,8,24,16,0,207.0,9.409,173.0,7.864,44,8.64
24,30,30,30,9,9,10,8,9,0,40,9,12,9,18,18,21,9,8,9,8,21,16,0,208.0,9.455,149.0,6.773,44,8.11
24,30,30,30,9,8,10,10,9,0,40,9,21,9,12,21,18,8,9,6,9,24,16,0,209.0,9.5,153.0,6.955,44,8.23
27,30,30,30,7,8,9,9,8,0,40,9,24,10,21,21,18,9,10,9,8,24,16,0,207.0,9.409,170.0,7.727,44,8.57
30,30,30,30,4,9,9,9,9,0,40,10,21,10,21,21,18,8,9,8,7,27,16,0,210.0,9.545,166.0,7.545,44,8.55
27,30,30,27,7,8,9,7,10,0,40,9,24,9,18,24,18,8,8,9,8,24,14,0,204.0,9.273,164.0,7.455,44,8.36
30,30,30,30,7,9,9,10,9,0,40,9,24,10,18,30,18,9,8,9,9,30,18,0,213.0,9.682,183.0,8.318,44,9.00
24,30,30,30,8,8,10,5,9,0,40,10,21,7,18,0,18,6,8,6,7,24,14,0,204.0,9.273,129.0,5.864,41,0
21,30,30,30,9,8,10,4,7,0,40,7,21,9,21,18,18,8,7,8,7,21,16,0,196.0,8.909,154.0,7.0,44,7.95
24,27,30,30,7,7,10,5,8,0,40,9,0,9,0,0,0,7,4,4,6,15,14,0,197.0,8.955,59.0,2.682,32,0
30,30,30,27,8,10,9,10,9,0,40,9,24,10,21,18,15,8,10,9,9,24,16,0,212.0,9.636,164.0,7.455,44,8.55
27,30,30,30,5,10,9,7,9,0,40,9,12,9,12,12,18,8,8,6,8,27,14,0,206.0,9.364,134.0,6.091,44,7.73
24,30,30,30,9,8,9,7,9,0,28,9,21,9,15,18,15,8,8,8,8,24,16,0,193.0,8.773,150.0,6.818,44,7.80
24,30,30,30,7,9,10,8,9,0,40,9,24,10,27,24,18,9,9,9,7,27,16,0,206.0,9.364,180.0,8.182,44,8.77
27,30,30,30,4,9,10,9,9,0,40,9,24,9,24,21,18,8,6,9,9,24,18,0,207.0,9.409,170.0,7.727,44,8.57
21,30,30,27,4,9,9,4,9,0,40,9,12,8,12,12,12,7,8,8,7,21,14,0,192.0,8.727,121.0,5.5,44,7.11
