DISCRETE MATHEMATICS,DISCRETE MATHEMATICS,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,10,30,30,30,30,8,18,18,10,0,27,10,21,21,21,18,9,18,9,18,0,214.0,9.727,172.0,7.818,44,8.77
30,10,27,30,30,30,8,20,20,9,0,30,10,21,24,27,24,9,18,9,18,0,214.0,9.727,190.0,8.636,44,9.18
30,10,30,30,30,30,7,18,18,10,0,30,10,21,21,30,21,9,20,9,18,0,213.0,9.682,189.0,8.591,44,9.14
30,10,27,30,30,30,9,18,16,9,0,27,10,21,24,24,18,7,18,9,18,0,209.0,9.5,176.0,8.0,44,8.75
30,10,27,27,30,30,9,20,18,9,0,15,10,15,24,21,18,8,18,8,18,0,210.0,9.545,155.0,7.045,44,8.30
21,10,27,24,30,30,10,20,18,9,0,21,10,18,21,24,15,8,20,8,16,0,199.0,9.045,161.0,7.318,44,8.18
27,8,0,27,30,30,8,18,16,9,0,18,9,0,0,15,0,5,16,6,16,0,173.0,7.864,85.0,3.864,32,0
30,10,30,30,30,30,10,18,18,9,0,30,10,21,21,27,18,8,18,9,18,0,215.0,9.773,180.0,8.182,44,8.98
24,10,27,27,30,30,7,18,16,10,0,0,10,0,12,12,0,6,18,7,18,0,199.0,9.045,83.0,3.773,35,0
30,10,30,30,30,27,8,20,18,9,0,24,10,15,18,18,12,7,18,6,18,0,212.0,9.636,146.0,6.636,44,8.14
30,10,30,30,30,27,9,20,18,9,0,30,10,18,24,24,21,8,18,10,20,0,213.0,9.682,183.0,8.318,44,9.00
27,10,30,30,30,30,9,18,18,9,0,21,10,15,12,18,15,8,18,7,18,0,211.0,9.591,142.0,6.455,44,8.02
30,10,30,24,30,30,9,18,16,9,0,24,9,18,21,21,18,6,16,5,14,0,206.0,9.364,152.0,6.909,44,8.14
30,10,27,24,30,27,9,18,16,9,0,21,10,18,18,18,18,7,18,10,18,0,200.0,9.091,156.0,7.091,44,8.09
30,9,30,30,30,30,10,20,18,10,0,27,10,24,18,21,24,9,16,8,18,0,217.0,9.864,175.0,7.955,44,8.91
27,10,30,27,30,30,9,18,18,9,0,18,10,15,15,18,12,8,18,9,18,0,208.0,9.455,141.0,6.409,44,7.93
21,8,24,24,27,27,9,18,14,9,0,0,9,0,0,0,0,6,16,4,16,0,181.0,8.227,51.0,2.318,29,0
27,9,27,30,30,30,8,16,16,8,0,24,10,0,0,21,12,7,18,8,18,0,201.0,9.136,118.0,5.364,38,0
30,10,30,30,30,30,10,18,20,9,0,27,10,24,21,18,18,9,18,9,18,0,217.0,9.864,172.0,7.818,44,8.84
30,10,30,30,30,27,9,20,16,10,0,27,10,18,21,27,18,8,18,9,18,0,212.0,9.636,174.0,7.909,44,8.77
30,8,27,27,30,30,9,18,18,10,0,30,10,12,18,18,12,7,18,7,18,0,207.0,9.409,150.0,6.818,44,8.11
27,10,30,30,30,30,10,20,18,9,0,27,10,21,24,24,18,7,18,10,18,0,214.0,9.727,177.0,8.045,44,8.89
30,10,30,30,30,30,8,18,18,9,0,27,10,12,18,18,18,7,18,9,18,0,213.0,9.682,155.0,7.045,44,8.36
27,10,27,30,30,30,9,16,18,9,0,21,9,15,15,18,15,6,16,5,14,0,206.0,9.364,134.0,6.091,44,7.73
30,10,30,30,30,30,7,18,16,9,0,24,10,18,12,24,18,8,14,7,18,0,210.0,9.545,153.0,6.955,44,8.25
30,8,30,30,30,30,7,16,14,7,0,21,10,15,12,18,18,6,16,8,12,0,202.0,9.182,136.0,6.182,44,7.68
24,10,30,30,30,30,7,18,18,10,0,18,9,18,21,21,15,8,20,9,20,0,207.0,9.409,159.0,7.227,44,8.32
30,10,30,30,30,30,9,18,18,10,0,27,10,21,21,24,21,8,18,9,20,0,215.0,9.773,179.0,8.136,44,8.95
21,9,27,27,30,30,6,18,16,9,0,0,10,0,0,0,0,6,14,5,18,0,193.0,8.773,53.0,2.409,29,0
30,10,30,27,30,30,8,18,16,9,0,30,10,18,15,24,21,8,18,8,18,0,208.0,9.455,170.0,7.727,44,8.59
27,9,30,30,30,30,9,18,16,9,0,21,9,0,18,18,15,7,18,9,18,0,208.0,9.455,133.0,6.045,41,0
24,10,27,27,30,30,10,20,18,9,0,21,10,15,21,21,18,7,18,8,18,0,205.0,9.318,157.0,7.136,44,8.23
24,10,27,27,30,30,7,18,16,10,0,0,10,18,12,0,18,5,18,9,18,0,199.0,9.045,108.0,4.909,38,0
27,8,27,27,30,30,8,18,16,9,0,24,8,15,0,18,12,6,14,4,18,0,200.0,9.091,119.0,5.409,41,0
30,10,30,27,30,30,10,20,18,9,0,27,10,18,24,24,21,9,18,9,20,0,214.0,9.727,180.0,8.182,44,8.95
27,10,27,30,30,30,8,18,18,10,0,27,10,12,21,21,15,8,20,5,18,0,208.0,9.455,157.0,7.136,44,8.30
24,10,27,27,30,30,8,18,16,9,0,18,9,18,18,21,18,6,18,8,16,0,199.0,9.045,150.0,6.818,44,7.93
30,10,30,27,30,30,7,18,18,9,0,27,10,12,18,24,18,8,16,9,18,0,209.0,9.5,160.0,7.273,44,8.39
30,10,30,30,30,30,8,18,16,9,0,27,10,24,24,21,21,9,18,10,16,0,211.0,9.591,180.0,8.182,44,8.89
30,10,30,30,30,30,9,20,18,9,0,30,10,21,21,21,15,9,18,9,18,0,216.0,9.818,172.0,7.818,44,8.82
27,10,30,30,30,30,9,18,20,10,0,24,10,24,24,21,18,10,20,10,18,0,214.0,9.727,179.0,8.136,44,8.93
30,10,30,30,30,30,9,18,18,9,0,27,10,24,18,24,15,8,20,8,18,0,214.0,9.727,172.0,7.818,44,8.77
30,10,30,30,30,30,10,20,18,9,0,27,10,18,21,24,18,8,18,9,18,0,217.0,9.864,171.0,7.773,44,8.82
24,10,24,27,30,30,7,20,18,9,0,21,8,12,15,18,15,5,14,4,18,0,199.0,9.045,130.0,5.909,44,7.48
30,10,30,30,30,30,9,20,20,9,0,30,9,18,21,24,18,8,20,8,20,0,218.0,9.909,176.0,8.0,44,8.95
24,10,30,30,30,30,7,18,16,9,0,12,10,12,18,21,15,7,16,4,18,0,204.0,9.273,133.0,6.045,44,7.66
24,10,30,27,30,30,8,18,18,9,0,21,10,12,18,21,18,7,18,8,18,0,204.0,9.273,151.0,6.864,44,8.07
27,10,27,27,30,30,8,18,18,9,0,24,10,18,12,21,15,7,16,5,18,0,204.0,9.273,146.0,6.636,44,7.95
30,10,30,30,30,30,7,18,20,9,0,21,10,18,21,21,18,7,18,7,18,0,214.0,9.727,159.0,7.227,44,8.48
30,10,27,30,30,30,8,18,18,9,0,24,10,15,18,24,18,7,18,7,18,0,210.0,9.545,159.0,7.227,44,8.39
27,10,30,30,30,30,8,18,16,9,0,21,9,18,18,27,18,7,16,4,16,0,208.0,9.455,154.0,7.0,44,8.23
27,10,27,30,30,30,8,18,14,8,0,18,10,15,18,18,12,6,16,8,16,0,202.0,9.182,137.0,6.227,44,7.70
