DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,30,30,30,18,20,9,9,10,0,27,9,24,27,24,24,20,10,20,10,0,216.0,9.818,195.0,8.864,44,9.34
30,30,30,30,30,18,18,9,10,9,0,27,10,18,21,24,24,18,9,18,9,0,214.0,9.727,178.0,8.091,44,8.91
30,27,27,24,30,16,18,9,10,9,0,24,9,18,18,24,24,18,10,20,10,0,200.0,9.091,175.0,7.955,44,8.52
30,30,30,30,30,18,18,10,9,9,0,27,9,18,15,21,21,16,10,18,10,0,214.0,9.727,165.0,7.5,44,8.61
30,27,21,24,27,16,16,10,9,10,0,27,8,18,12,18,21,18,9,18,8,0,190.0,8.636,157.0,7.136,44,7.89
30,24,27,27,30,16,18,10,10,9,0,24,9,15,12,27,21,14,8,20,9,0,201.0,9.136,159.0,7.227,44,8.18
30,30,30,30,30,18,18,9,9,10,0,27,8,18,12,18,15,14,8,18,9,0,214.0,9.727,147.0,6.682,44,8.20
30,30,30,30,30,18,18,9,9,9,0,27,9,18,24,27,27,20,10,20,10,0,213.0,9.682,192.0,8.727,44,9.20
30,27,30,27,30,18,18,9,9,9,0,18,9,18,24,27,21,20,9,18,10,0,207.0,9.409,174.0,7.909,44,8.66
30,30,30,30,30,18,20,10,10,9,0,30,7,21,21,21,18,16,7,18,9,0,217.0,9.864,168.0,7.636,44,8.75
30,30,30,30,30,12,14,9,10,10,0,21,7,18,15,24,12,14,8,18,9,0,205.0,9.318,146.0,6.636,44,7.98
27,30,30,27,30,18,18,9,9,9,0,27,9,27,24,21,24,18,8,18,9,0,207.0,9.409,185.0,8.409,44,8.91
30,27,30,27,30,12,14,9,9,10,0,21,8,12,18,21,21,14,6,20,9,0,198.0,9.0,150.0,6.818,44,7.91
30,27,24,24,30,16,16,10,8,9,0,24,4,21,21,21,24,16,7,18,9,0,194.0,8.818,165.0,7.5,44,8.16
30,30,30,30,30,16,18,9,9,9,0,27,7,27,18,18,21,14,7,18,7,0,211.0,9.591,164.0,7.455,44,8.52
30,30,30,24,30,18,14,10,9,9,0,30,7,21,15,21,12,14,10,18,9,0,204.0,9.273,157.0,7.136,44,8.20
27,27,27,27,30,18,12,9,9,9,0,21,9,15,18,21,21,14,9,18,8,0,195.0,8.864,154.0,7.0,44,7.93
30,30,30,30,30,18,18,10,10,10,0,30,9,21,24,24,21,16,9,18,9,0,216.0,9.818,181.0,8.227,44,9.02
27,27,24,24,24,14,18,9,10,9,0,21,7,12,12,18,12,16,7,20,8,0,186.0,8.455,133.0,6.045,44,7.25
30,30,30,30,30,18,16,9,9,9,0,18,9,15,21,21,21,16,9,20,10,0,211.0,9.591,160.0,7.273,44,8.43
24,24,24,24,30,14,16,9,10,9,0,15,9,12,18,18,12,0,8,20,10,0,184.0,8.364,122.0,5.545,42,0
30,30,30,30,30,16,18,9,9,8,0,24,7,15,18,12,18,12,7,16,9,0,210.0,9.545,138.0,6.273,44,7.91
30,27,27,27,30,16,16,9,9,10,0,24,8,21,21,18,21,20,9,20,9,0,201.0,9.136,171.0,7.773,44,8.45
30,30,30,30,30,18,20,10,10,10,0,30,9,27,24,24,24,18,9,20,10,0,218.0,9.909,195.0,8.864,44,9.39
