,DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
70,0.9,1.0,0.9,1.0,1.0,0.7,0.9,0.9,0.9,1.0,0,0.7,0.8,0.6,0.5,0.4,0.5,0.8,0.9,0.9,0.9,0,204.0,0.9273,141.0,0.6409,1.0,0.784,0.8571428571428571,0.8571428571428571,0.96,0.54
71,0.8,1.0,0.9,0.9,1.0,0.8,0.8,1.0,1.0,1.0,0,0.6,0.6,0.5,0.7,0.5,0.4,0.8,0.6,0.9,1.0,0,200.0,0.9090999999999999,137.0,0.6227,1.0,0.766,0.8857142857142857,0.8,0.92,0.54
72,1.0,1.0,1.0,0.9,1.0,0.6,0.8,1.0,0.9,1.0,0,0.8,0.8,0.6,0.8,0.8,0.9,0.6,0.8,0.9,1.0,0,204.0,0.9273,173.0,0.7864,1.0,0.857,0.8142857142857143,0.8,0.98,0.78
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0,1.0,1.0,0.9,0.9,0.9,0.8,1.0,1.0,1.0,0.9,0,219.0,0.9955,204.0,0.9273,1.0,0.961,0.9857142857142858,0.9857142857142858,1.0,0.9
74,1.0,1.0,1.0,0.9,1.0,0.7,0.9,1.0,1.0,1.0,0,1.0,0.9,0.7,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0,209.0,0.95,186.0,0.8455,1.0,0.898,0.8857142857142857,0.9,0.98,0.82
75,1.0,1.0,1.0,0.9,1.0,0.9,0.8,0.9,0.9,0.8,0,1.0,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0,207.0,0.9409000000000001,195.0,0.8864000000000001,1.0,0.914,0.8571428571428571,0.8571428571428571,0.98,0.9
76,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0,0.9,0.8,0.6,0.8,0.7,0.7,0.9,0.9,0.9,0.8,0,215.0,0.9773,172.0,0.7817999999999999,1.0,0.8800000000000001,0.9285714285714286,0.8714285714285714,1.0,0.74
77,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0,0.9,0.9,0.9,0.7,0.8,0.7,0.9,0.9,1.0,0.9,0,216.0,0.9818,185.0,0.8409000000000001,1.0,0.9109999999999999,0.9428571428571428,0.9285714285714286,1.0,0.8
78,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0,0.9,0.9,0.8,0.9,0.8,0.8,1.0,1.0,1.0,1.0,0,216.0,0.9818,195.0,0.8864000000000001,1.0,0.9339999999999999,0.9428571428571428,0.9857142857142858,1.0,0.84
79,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0,0.9,1.0,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0,214.0,0.9727,178.0,0.8090999999999999,1.0,0.891,0.9142857142857143,0.9142857142857143,1.0,0.76
80,1.0,0.9,0.9,0.8,1.0,0.8,0.9,0.9,1.0,0.9,0,0.8,0.9,0.6,0.6,0.8,0.8,0.9,1.0,1.0,1.0,0,200.0,0.9090999999999999,175.0,0.7955,1.0,0.852,0.8857142857142857,0.9571428571428572,0.92,0.72
81,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0,0.9,0.9,0.6,0.5,0.7,0.7,0.8,1.0,0.9,1.0,0,214.0,0.9727,165.0,0.75,1.0,0.861,0.9142857142857143,0.9,1.0,0.68
